,,,608,,,,,
1.63,1.100814066,0.929911425,0.251327412,-25.13274123,,,,
1.64,1.10332734,0.894725588,0,-50.26548246,,,,
1.65,1.10332734,0.85953975,-0.502654825,0,,,,
1.66,1.098300792,0.821840638,-0.502654825,-25.13274123,,,,
1.67,1.093274243,0.781628252,-0.753982237,-25.13274123,,,,
1.68,1.085734421,0.738902592,-1.005309649,-50.26548246,,,,
1.69,1.075681325,0.696176932,-1.507964474,0,,,,
1.7,1.06060168,0.653451272,-1.507964474,-25.13274123,,,,
1.71,1.045522035,0.605699064,-1.759291886,-25.13274123,,,,
1.72,1.027929116,0.560460129,-2.010619298,-25.13274123,,,,
1.73,1.007822923,0.510194647,-2.261946711,-25.13274123,,,,
1.74,0.985203456,0.462442439,-2.513274123,-25.13274123,,,,
1.75,0.960070715,0.412176956,-2.764601535,0,,,,
1.76,0.9324247,0.3593982,-2.764601535,-50.26548246,,,,
1.77,0.904778684,0.314159265,-3.26725636,0,,,,
1.78,0.872106121,0.261380509,-3.26725636,-25.13274123,,,,
1.79,0.839433557,0.208601752,-3.518583772,-25.13274123,,,,
1.8,0.804247719,0.155822996,-3.769911184,-25.13274123,,,,
1.81,0.766548607,0.103044239,-4.021238597,2.22E-12,,,,
1.82,0.726336222,0.050265482,-4.021238597,-25.13274123,,,,
1.83,0.686123836,-0.005026548,-4.272566009,-25.13274123,,,,
1.84,0.643398175,-0.055292031,-4.523893421,0,,,,
1.85,0.598159241,-0.108070787,-4.523893421,-25.13274123,,,,
1.86,0.552920307,-0.160849544,-4.775220833,-1.11E-11,,,,
1.87,0.505168099,-0.211115026,-4.775220833,-25.13274123,,,,
1.88,0.45741589,-0.261380509,-5.026548246,1.07E-12,,,,
1.89,0.407150408,-0.311645991,-5.026548246,-1.07E-12,,,,
1.9,0.356884925,-0.3593982,-5.026548246,5.33E-13,,,,
1.91,0.306619443,-0.407150408,-5.026548246,-25.13274123,,,,
1.92,0.256353961,-0.452389342,-5.277875658,5.33E-13,,,,
1.93,0.203575204,-0.497628276,-5.277875658,-2.66E-13,,,,
1.94,0.150796447,-0.537840662,-5.277875658,8.88E-14,,,,
1.95,0.098017691,-0.580566322,-5.277875658,25.13274123,,,,
1.96,0.045238934,-0.618265434,-5.026548246,-25.13274123,,,,
1.97,-0.005026548,-0.655964546,-5.277875658,1.78E-13,,,,
1.98,-0.057805305,-0.691150384,-5.277875658,25.13274123,,,,
1.99,-0.110584061,-0.723822947,-5.026548246,-1.12E-11,,,,
2,-0.160849544,-0.756495511,-5.026548246,50.26548246,,,,
2.01,-0.211115026,-0.784141526,-4.523893421,-50.26548246,,,,
2.02,-0.256353961,-0.811787542,-5.026548246,25.13274123,,,,
2.03,-0.306619443,-0.836920283,-4.775220833,25.13274123,,,,
2.04,-0.354371651,-0.85953975,-4.523893421,-25.13274123,,,,
2.05,-0.399610586,-0.879645943,-4.775220833,50.26548246,,,,
2.06,-0.447362794,-0.897238862,-4.272566009,1.84E-11,,,,
2.07,-0.490088454,-0.914831781,-4.272566009,-1.73E-11,,,,
